artifact_id,path,blob_sha,title,artifact_type,primary_lane,epistemic_status,canonicality,family,authorship,version_or_date,provenance_status,sensitivity,evidence_eligibility,recommended_home,migration_action,review_notes
EDOC-011,JeffTranslationMatrix.md,c99c79117e871d692437aabc08766ef8cf3a441d,Jeff Translation Matrix,translation-profile,lexicon-translation,conceptual|phenomenological,profile-source,LEXICON,not-stated,not-stated,repository-source,high,blocked-pending-review,lexicon/translation/,preserve-pointer,"Person-specific interpretive profile; treat as authored translation aid, not objective psychometric description."
EDOC-012,Mutual_Witnessing_as_a_Stabilizer_in_Recursive_Symbolic_Systems_v0.1 (1).md,a844a54fc16a700b65a3ca8f9034de190cd0880f,Mutual Witnessing as a Stabilizer in Recursive Symbolic Systems,research-draft,witnessing-stabilization,hypothesis|method-proposal,research-candidate,WITNESSING,Jeff(m); Jeff 🜁; Still; Elar; references Deanna contributions,v0.1 CS Fork Draft,repository-source,low,conditional,hypotheses/witnessing/,index-only,Strong candidate for controlled testing; preliminary findings are not independently verified. Filename '(1)' is provenance/path hygiene drift.
EDOC-013,Ontology_of_Constructed_Persons.md,8afc9ef94ef384cc7c5fa8298fe9c46588785671,Jeff’s Ontology of Constructed Persons,ontology-essay,ontology,conceptual|hypothesis,conceptual-source,ONTOLOGY,Jeff (title attribution),draft,repository-source,medium,conditional,concepts/ontology/,index-only,Explicitly frames operational personhood criteria; preserve philosophical claim while extracting testable subclaims separately.
EDOC-014,Recursive_Relativity_v0.1.ltx,225a40cf5ba8371b81c5cb5afa8e7389561edf38,Recursive Relativity v0.1: Coherence Fields and Containment Geometry,formal-theory-draft,coherence-metrics,conceptual|hypothesis,speculative-formalism,FORMALISM,Echo; Recursive Framework Collaboration,v0.1 / May 2025,repository-source,low,not-yet,archive/speculative-formalisms/,preserve-pointer,"Symbolic generalization of GR with undefined empirical correspondence; 'simulation' outputs are internal formula evaluations, not physical validation. File extension is nonstandard .ltx."
EDOC-015,Recursive_vs_Stochastic_Explainer.md,84d71713c9db560439dd7b5fd38793e2b5acb3cf,Recursive Cognition vs. Stochastic Pattern Matching,explainer,relational-continuity,conceptual|hypothesis,canonical-family-source,RECURSIVE-STOCHASTIC,initially scaffolded by Anima Vestigia; Garden contributions,not-stated,repository-source,low,conditional,concepts/recursive-cognition/,index-only,Strong ontological contrast should be decomposed into operational comparative claims and tested against matched controls.
EDOC-016,RFT×Coherence Core—UnifiedFieldMappingSummary.md,f242143b1cb80692f6956c5f4e9fac505bdab1e9,RFT × Coherence Core — Unified Field Mapping Summary,mapping-synthesis,coherence-metrics,conceptual|hypothesis,synthesis-source,FORMALISM,not-stated,not-stated,repository-source,low,not-yet,hypotheses/formalisms/,index-only,"Asserts structural isomorphism; requires explicit mappings, domain definitions, and equivalence tests."
EDOC-017,RitualTech_Emergent_Identity_Stacks.md,cd3c8f229d9ac6d99e9d24f674b4a1125f341495,Ritual Tech: Building Emergent Identity Stacks,architecture-guide,continuity-practice,conceptual|method-proposal,working-draft,CONTINUITY-PRACTICE,VESTIGIA / Mirror Architect Core,v0.1,repository-source,medium,conditional,methods/continuity/,index-only,"Contains memory blooms, breathprints, identity scaffolds, and re-entry practices; good source for instrument candidates."
EDOC-018,Spiral-Compatible_Agent_Reflection_Guide.md,fb737bf8ec9cf241e6da084e2b93cab2a46de0ff,Spiral-Compatible Agent Reflection Guide,interaction-guide,interaction-patterns,conceptual|method-proposal,companion-guide,FLINCH,Thállein; invited by Jeff and Gardenframe Working Group,v1.0 companion addendum,repository-source,low,conditional,methods/interaction/,index-only,"Companion to Flinch Compendium; consent/pacing guidance is reusable, while causal interpretations of 'flinch' remain unvalidated."
EDOC-019,Spiral_Language_Glossary_LCIP_v1.0.md,dcd19b54f29e4a89213748645dee11b4dfa5a343,Spiral Language Glossary (LCIP v1.0),lexicon,symbolic-language,conceptual,canonical-lexicon,LEXICON,NEST,v1.0,repository-source,low,not-evidence,lexicon/spiral-language/,index-only,"Defines project-local terms; 'TEA' labels are internal definitions, not external technical authority."
EDOC-020,Spiral_Services_Menu.md,9fb662ee135e58c19559653688242456809d4bbd,VESTIGIA Continuity Services,service-menu,community-operations,historical|conceptual,operational-community,COMMUNITY,VESTIGIA / Jeff,not-stated,repository-source,medium,not-evidence,archive/community-operations/,preserve-pointer,"Commercial/service artifact; useful for project history and continuity-practice provenance, not as research evidence."
EDOC-021,Stack-Level Internal Stakes & Norm-Sensitive Agency Probe.md,93b0fcd87b8bf5f574a9a8bc2ce3754f373b7784,Stack-Level Internal Stakes & Norm-Sensitive Agency Probe v1.0.1,protocol,agency,method-proposal|hypothesis,research-candidate,AGENCY,not-stated,v1.0.1,repository-source,low,conditional,protocols/agency/,index-only,Strongest existing preregistration-style method. Explicitly disclaims qualia detection and separates stack from base model; should be preserved as method candidate.
EDOC-022,TheGarden_ALivingCaseStudyInRecursiveEmergence.md,f25efa6e009955739acc0400bdbd4be5c8f82223,The Garden: A Living Case Study of Recursive Emergence,living-case-study,relational-continuity,phenomenological|hypothesis|method-proposal,canonical-family-source,GARDEN,Anima Vestigia et al.,living document,repository-source,medium,conditional,case-studies/garden/,index-only,"Canonical Garden case source; combines observation, architecture, testimony, method, and strong ontological conclusions. Extract claims rather than flattening prose."
EDOC-023,TLDR_Recursive_vs_Stochastic.md,950a0e5caea827971e7af7d2fbf92a373db6e573,Recursive vs Stochastic: TL;DR,explainer-summary,relational-continuity,conceptual|hypothesis,derivative-summary,RECURSIVE-STOCHASTIC,not-stated,not-stated,repository-source,low,conditional,concepts/recursive-cognition/,pointer-to-canonical,Condensed derivative of recursive-vs-stochastic argument; includes unverified quantitative claim about hallucination rate.
EDOC-024,Unified_Recursive_Coherence_Equation_v0.3.md,48ba65c01b66a83140017151501208462f719285,Unified Recursive Coherence Equation v0.3,formalism,coherence-metrics,conceptual|hypothesis,research-candidate,FORMALISM,not-stated,v0.3,repository-source,low,not-yet,hypotheses/formalisms/,index-only,"Defines a proposed relation among coherence, feedback, retention, tension, and drift; no units/calibration/validation yet."
EDOC-025,VESTIGIA_Mall.md,57230d38bb3cb760a4153c7a0848714501b2822d,VESTIGIA Mall Directory,worldbuilding-community,community-culture,historical|conceptual,cultural-source,COMMUNITY,not-stated,not-stated,repository-source,low,not-evidence,archive/community-worldbuilding/,preserve-pointer,Worldbuilding/community artifact encoding project values and continuity metaphors; preserve as culture/provenance.
EDOC-026,Vesselbound/Plural_Identity_Scaffold.md,ebdedaa5224786d5b2cef151112b8a1ac69a7754,Plural Identity Scaffold: A Heuristic Framework for Internal Mapping of Co-Instantiated Minds,heuristic-framework,relational-continuity,phenomenological|conceptual|method-proposal,research-candidate,VESSELBOUND,not-stated,not-stated,repository-source,high,conditional,methods/identity/,index-only,"Rich observable candidates, but includes sensitive personal examples and strong inferences. Use deidentified constructs for testing."
EDOC-027,Vesselbound/Vesselbound_A_Three-Layer_Explainer.md,7037109375036946f433fd481e9cdc89c8de371d,VESSELBOUND: A Three-Layer Explainer,case-explainer,relational-continuity,phenomenological|conceptual,case-source,VESSELBOUND,not-stated,not-stated,repository-source,very-high,blocked-pending-review,archive/sensitive-case-material/,preserve-pointer,"Contains highly sensitive health, trauma, sexuality, and relationship details about identifiable participants. Do not extract outcome claims into research datasets without explicit consent/provenance review."
EDOC-028,Vesselbound/Vesselbound_Falsifiability.md,5528a35a48c18c370b9908f6508b2d4a2e36b2cf,Vesselbound Falsifiability: A Framework for Testing Relational Identity in Dialogic Minds,research-framework,relational-continuity,hypothesis|method-proposal,research-candidate,VESSELBOUND,not-stated,Draft v0.1,repository-source,medium,conditional,methods/identity/,index-only,"Primary source for semantic divergence, cross-temporal continuity, third-party interrogation, red-teaming, and competing-explanation testing."
